Formula,Name,IUPAC Standard InChIKey,EA_,IE_,SMILES,EA,IE
C22H14,Pentaphene,JQQSUOJIMKJQHS-UHFFFAOYSA-N,,7.27,C1=CC=C2C=C3C(=CC2=C1)C=CC4=CC5=CC=CC=C5C=C43,-,6.711340088
C22H14,Benzo[a]naphthacene,JTRPLRMCBJSBJV-UHFFFAOYSA-N,,6.97,C1=CC=C2C(=C1)C=CC3=CC4=CC5=CC=CC=C5C=C4C=C32,1.15268245,6.419404153
C22H14,"Naphtho[1,2-a]anthracene",HAJMQPPSPOBCLG-UHFFFAOYSA-N,,7.33,C1=CC=C2C(=C1)C=CC3=C2C4=CC5=CC=CC=C5C=C4C=C3,0.895606527,6.626697551
C22H14,Benzo(g)chrysene,JZOIZKBKSZMVRV-UHFFFAOYSA-N,,7.57,C1=CC=C2C(=C1)C=CC3=C2C4=CC=CC=C4C5=CC=CC=C35,0.546554704,6.893082357
C22H14,Benzo(c)chrysene,YZWGEMSQAMDWEM-UHFFFAOYSA-N,,7.82,C1=CC=C2C(=C1)C=CC3=C2C=CC4=C3C5=CC=CC=C5C=C4,0.514794025,6.959752028
C22H14,"Dibenzo[c,g]phenanthrene",JKPCLJPYZMKPHM-UHFFFAOYSA-N,,7.51,C1=CC=C2C(=C1)C=CC3=C2C4=C(C=C3)C=CC5=CC=CC=C54,-,6.914391291
C22H14,"Pyrene, 1-phenyl-",QRVQUBKLRBKFCG-UHFFFAOYSA-N,,,C1=CC=C(C=C1)C2=C3C=CC4=CC=CC5=C4C3=C(C=C5)C=C2,0.740204506,6.696491045
C22H14,2-phenylfluoranthene,JFNJAZGGEAAZNG-UHFFFAOYSA-N,,,C1=CC=C(C=C1)C2=CC3=C4C(=C2)C=CC=C4C5=CC=CC=C53,0.848678437,7.00735223
C22H14,"Dibenzo[drf,mno]chrysene, 2,3-dihydro",KDWIJRYPLQEXLS-UHFFFAOYSA-N,,,C1CC2=C3C(=C1)C=C4C=CC5=C6C4=C3C(=CC6=CC=C5)C=C2,1.320645068,5.924193885
C14H11NO,N-acetyl-carbazole,CADSTRJVECIIAT-UHFFFAOYSA-N,,,CC(=O)N1C2=CC=CC=C2C3=CC=CC=C31,0.036084507,7.552638901
C14H11NO,"9(10H)-Acridinone, 10-methyl-",XUVKSPPGPPFPQN-UHFFFAOYSA-N,,7.53,CN1C2=CC=CC=C2C(=O)C3=CC=CC=C31,0.451414163,7.238487906
C14H11NO,"Phenalen-1-one,9-methylamino-",CTHWWPAHMJBHGT-UHFFFAOYSA-N,,7.41,CNC1=C2C(=O)C=CC3=CC=CC(=C32)C=C1,0.894169787,7.095711789
C14H11NO,"Acetonitrile, (m-phenoxyphenyl)-",DKGMALJGFUHPGB-UHFFFAOYSA-N,,,C1=CC=C(C=C1)OC2=CC=CC(=C2)CC#N,-0.229867644,7.600320737
C14H11NO,4-Phenoxyphenylacetonitrile,PCOVIPKFOQOPEH-UHFFFAOYSA-N,,,C1=CC=C(C=C1)OC2=CC=C(C=C2)CC#N,-0.251584743,7.603381974
C14H11NO,2-Phenoxyphenylacetonitrile,PCMQCXFXODBYGN-UHFFFAOYSA-N,,,C1=CC=C(C=C1)OC2=CC=CC=C2CC#N,-0.250651405,7.679888422
C14H11NO,3-Phenyloxindole,PAMMIXSSIGTOAK-UHFFFAOYSA-N,,,C1=CC=C(C=C1)C2C3=CC=CC=C3NC2=O,-0.444546107,7.547106905
C6H7N,"Pyridine, 2-methyl-",BSKHPKMHTQYZBB-UHFFFAOYSA-N,,9.37,CC1=CC=CC=N1,-1.101865907,-
C6H7N,"Pyridine, 3-methyl-",ITQTTZVARXURQS-UHFFFAOYSA-N,,8.9,CC1=CN=CC=C1,-0.991217818,8.600847438
C6H7N,Aniline,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,,7.736,C1=CC=C(C=C1)N,-1.652175729,7.355506091
C6H7N,"Pyridine, 4-methyl-",FKNQCJSGGFJEIZ-UHFFFAOYSA-N,,9.46,CC1=CC=NC=C1,-1.028687365,8.668621876
C6H7N,2-Cyclopentene-1-carbonitrile,JYPNFPDSJNLMFC-UHFFFAOYSA-N,,,C1CC(C=C1)C#N,-1.295066729,9.304017773
C6H7N,1-Cyclopentene-1-carbonitrile,XBVZRFXCDCYXAX-UHFFFAOYSA-N,,,C1CC=C(C1)C#N,-0.471806087,9.029540416
