SMILE,SRP
C1=C[N+](=CC=C1C2=CC=[N+](C=C2)CCN)CCN,-0.28
OC2C[N+]1=C(C=CC=C1)C3=[N+]2C=CC=C3,-0.29
CC1=NC=C(N1CCNC(=O)S)[N+](=O)[O-],-0.498
CCN(CC)CC(CNC1=C2C=CC(=CC2=NC3=CC(=C(C=C31)OC)OC)[N+](=O)[O-])O,-0.26
COCC(CN1C=NC(=C1I)[N+](=O)[O-])O,-0.497
CCCCCCCCCCCCCCCCCC[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CCCCCCCCCCCCCCCCCC,-0.28
C1=CC=C(C(=C1)C(=O)O)[N+](=O)[O-],-0.412
C1=CC=C(C=C1)OCCN2C=CN=C2[N+](=O)[O-],-0.391
O=[N](=O)C1=NC=C[N]1CCNC2CCNCC2,-0.399
C1C[N+]2=C(C=CC=C2Br)C3=CC=CC=[N+]31,-0.01
CN1C=NC(=C1S(=O)(=O)OC2=CC=CC3=CC=CC=C32)[N+](=O)[O-],-0.34
CC1=[N+](C=CC(=C1)C2=CC(=[N+](C=C2)C#N)C)C#N,-0.14
C2(=NC1=NSN=C1N=C2C3=CC=CC=[N+]3[O-])C4=NC=CC=C4,-0.253
CSSC,1.391
CC1=CNC2=CC=CC=C12,1.01
C1=C(C(=CC2=C1N=C3C(=N2)C(=O)N(C(=O)N3C)C)C)C,-0.53
CC(C)([C@H](C(=O)O)N)S,1.345
C[N+]1=CC2=C(C=C1)C3=C(C=C2)[N+](=CC=C3)C,-0.405
C1=CC=C(C(=C1)C#N)[N+](=O)[O-],-0.308
C1=CC9=C(C=C1)C[N+]6=C4[N+](=CC=C5C3=CC=[N+]2CC8=C(C[N+]7=C2C3=C(C(=C45)C=C6)C=C7)C=CC=C8)C9,-0.139
C1=NC2=C(N1)C(=O)NC(=O)N2,0.59
C12=[S]3ON=C1C[S](CC2=NO3)(=O)=O,-0.227
CN1C=NC(=C1S)[N+](=O)[O-],-0.538
CC2=[N+]1CCC[N+]3=C(C1=CC=C2)C=CC=C3,-0.59
COC1=CC=C(C=C1)[CH2],0.5
C1=NC(=C(N1)[N+](=O)[O-])I,-0.503
