SMILE,SRP
C1=C(C(=O)NC(=O)N1)[N+](=O)[O-],-0.527
C1[C@@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,0.93
[O]C1C2=CC=CC=C2C([O-])C3=C1C(O)=CC(S(=O)([O-])=O)=C3O,-0.27
Cl[Ir-3](Cl)(Cl)(Cl)(Cl)Cl,0.8665
C2(=NC1=NSN=C1N=C2C3=CC=CO3)C4=CC=CO4,-0.374
C[N+](C)(C)CCCC[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CCCC[N+](C)(C)C,-0.367
C1[C@H](C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,0.42
C1=CN(C(=N1)[N+](=O)[O-])CC(CF)O,-0.383
COC1=C[N+]3=C(C=C1)C2=[N+](C=CC=C2)CCC3,-0.63
C1=CC=C(C=C1)[CH-]C2=CC=CC=C2,-0.9
CC1=CC(=O)C2=CC=CC=C2C1=O,-0.203
C([C@H]([C@@H](CS)O)O)S,1.752
CC1=CC(C2=C(C=CC=C2O)C1[O-])[O],-0.156
COC1=C(C=CC(=C1)O)O,-0.085
CCN(CC)C(=O)CC[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CC=C,-0.383
C1=CC(O)C=CC1O,0.057
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C=C(C=C3)S(=O)(=O)[O-],-0.39
CCN(CC)CCN1C2=CC=CC=C2SC3=CC=CC=C31,0.807
C1=CC(=C2C([O])C=CC([O-])C2=C1O)O,-0.11
C1=CN=C([N+](=O)[O-])[N]1CCN2CCCC2,-0.334
C1=CC(=CC=C1CO)[N+](=O)[O-],-0.477
C1C[N+]2=C3C(=C(C=C2)C4=CC=CC=C4)C=CC5=C(C=C[N+](=C53)C1)C6=CC=CC=C6,-0.31
C1CO[CH]CO1,0.16
C1=CC=C[C-]1[Fe+2][C-]1C=CC(=C1)N,0.149
C[N+]1=CC=CC(=C1)C(=O)N,-0.936
C=C(CC)C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CCOC,-0.396
CN(C)N=NC1=C(NC=N1)C(=O)N,-0.571
C1CN1C2=C(C=C(C(=C2)C(=O)N)N)[N+](=O)[O-],-0.515
C15=C(C2=C(C=C1)C=CC=C2)SC3=C(C=CC4=C3C=CC=C4)N5,0.548
NCCC(O)C1=C[C-]([Fe+2][C-]2C=CC=C2)C=C1,0.444
[O]C1C2=CC=CC=C2C([O-])C3=CC=CC=C13,-0.445
COC1=CC(C=C/C1=N\C2=C3C=CC=CC3=NC4=CC=CC=C42)[O-],0.085
C12=[S]3ON=C1C[S](CC2=NO3)(=O)=O,-0.227
C1(=C[N+]3=C(C=C1C)C2=[N+](C=C(C(=C2)C)C)CC3)C,-0.613
C1=CC(=CC2=C1C=CC(=O)O2)O,0.315
C1=CC(=CC(=C1)O)O,0.385
BrCC1=CC(C(C=CC2[O])[O-])=C2C=C1,-0.092
C1=C(C=CC(=C1)[CH2-])CN,-0.53
CC1=NC=C(N1CC(CCl)O)[N+](=O)[O-],-0.467
OCC1=C(CO)C=C[C-]1[Fe+2][C-]2C=CC=C2,0.474
C1=CC(=C(C=C1O)C(=O)O)O,0.033
C1[CH]OCO1,-0.1
COC(=O)C1=CC(=C(C(=C1)O)O)O,0.098
C1(=C[N+]3=C(C=C1)C2=[N+](C=CC=C2)CC3)OC,-0.45
CC(C)([C@H](C(=O)O)N)S,1.345
[O]C1C2=CC=CC=C2C([O-])C3=C1C=CC(S(=O)([O-])=O)=C3,-0.266
C1=CC(=CC(=C1)O)O,0.3
C1=CSC(=C1)[N+](=O)[O-],-0.395
[O]C1C2=CC=CC=C2C([O-])C3=C(O)C=CC(O)=C13,-0.249
[CH2-]C1=CC=CC=C1,-1.21
CC1=C(C=C[N+](=C1)CCC[S](=O)(=O)[O-])C2=C(C=[N+](C=C2)CCC[S](=O)(=O)[O-])C,-0.79
CC(C)[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C(C)C,-0.45
C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.[Ru+2],1.62
C1C[N+]2=CC=CC3=C2C4=C(C=CC=[N+]41)C=C3,-0.28
CC1=C2C3=C(C=CC=[N+]3CC[N+]2=CC=C1)C,-0.58
CC1=CN(C(=N1)[N+](=O)[O-])SC2=NC(=NC3=C2NC=N3)N,-0.49
N.N.N.N.N.N.[Co+2],0.108
CC1=C(C)[C-]([Fe+2][C-]2C(C)=C(C(C)=C2C)C)C(C)=C1C,0.753
C1=CC=C2C(=C1)NC3=C(S2)C=C(C=C3)F,0.722
CNC(OCC1=CC2=C(C(C=CC2[O-])[O])C=C1)=O,-0.099
C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CCC[N+]3=CC=C(C=C3)C4=CC=[N+](C=C4)C,-0.33
CC1=C(C(O)C2=C(C1O)C=CC=N2)C,-0.317
OCC1=CC=C[C-]1[Fe+2][C-]1C(CO)=CC(=C1),0.474
CN1C=NC(=C1S(=O)(=O)NC2=CC=CC=C2)[N+](=O)[O-],-0.398
C1=CC(O)C=CC1O,0.459
C1CSS[C@@H]1CCCCC(=O)O,1.13
CNC1=CC=C(C=C1)O,0.146
CN1C=NC(=C1S(=O)(=O)OC2=CC=C(C=C2)OC)[N+](=O)[O-],-0.335
C1C[N+]2=CC=CC3=C2C4=C(C=CC=[N+]4C1)C=C3,-0.27
CN(C)CC(CN1C=CN=C1[N+](=O)[O-])O,-0.351
CC1=CC(=CC=C1)[CH2-],-1.26
C1(=C[N+]3=C(C=C1)C2=[N+](C=CC=C2)CC3)C#N,0.0
CC1=C(C2=C(N1C)C([O-])C(=CC2[O])OC)CO,-0.376
CN(C)C(C)C1=CC=C[C-]1[Fe+2][C-]1C=CC=C1,0.584
CCCCC[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CCO,-0.438
C1=CN(C(=N1)[N+](=O)[O-])CCO,-0.398
C13=C(C=CC=C1)[S-](C2=C(C=CC=C2)N3)[O+],0.8
C2(C1=C4[N](C(=C1C(C(=C2C)C)=O)C3=CC=CC=C3)CCC4)=O,-0.435
CC1=C(C2=C(N1C3CC3)C([O])C=C(C2[O-])OC)CO,-0.336
CC1=C[C-]([Fe+2][C-]2C(C3CN([H])C(O3)=O)=CC(C)=C2)C=C1,0.389
C(CS)C(=O)O,1.359
C1=CC2=C(C=C1S(=O)(=O)[O-])C(=C(N2)C3=NC4=C(C3=O)C=C(C=C4)S(=O)(=O)[O-])O,-0.247
C1COCCN1CCCCCCCCCCCN2C=CN=C2[N+](=O)[O-],-0.403
C(CCC(=O)N)CC(CCS)S,1.7
C1=CC(=C(C=C1C(=O)O)O)O,0.119
