SMILE,solvent,type,ph,SRP
[O-]C1C=CC([O])C2=C(C3=CC=CC=C3)N(CCC4)C4=C12,H2O,anion,7.0,-0.427
[O-]C1C=CC([O])C2=CN(C)C(C3=CC=CC=C3)=C12,H2O,anion,7.0,-0.419
[O-]C1C2=C(CCC3)N3C(C)=C2C([O])C=C1,H2O,anion,7.0,-0.438
[O-]C1C2=C(CCC3)N3C(C4=CC=CC=C4)=C2C([O])C(C)=C1C,H2O,anion,7.0,-0.435
CC1=C(C)C(C2=C(C3=CC=CC=C3)N(C)C(C)=C2C1[O])[O-],H2O,anion,7.0,-0.452
[O]C1C2=C(CCC3)N3C(C(OCC)=O)=C2C([O-])C(C)=C1C,H2O,anion,7.0,-0.368
CCOC(C1=C2C(C(C(C)=C(C)C2[O-])[O])=C(C3=CC=CC=C3)N1C)=O,H2O,anion,7.0,-0.366
[O-]C1C2=C(CCC3)N3C(C(OCC)=O)=C2C([O])C(C)=C1OC,H2O,anion,7.0,-0.383
[O]C1C2=C(CCC3)N3C(C(OCC)=O)=C2C([O-])C(OC)=C1C,H2O,anion,7.0,-0.378
OC(C1C(C(C(O1)=O)[O-])[O])CO,H2O,anion,7.0,-0.175
OC(C1C(C(C(O1)=O)O)O)CO,H2O,neutral,7.0,0.282
OC(C1C(C(C(O1)=O)O)O)CO,H2O,neutral,7.0,0.054
[O-]C1C=C2C(C=C1[O])=[N+](CC2O)O,H2O,anion,7.0,-0.253
NC1=CC=CC2=C1C(N=NC2[O-])[O],H2O,anion,7.0,0.24
[O-]C1C2=CC=CC=C2C3=CC=CC=C3C1[O],H2O,anion,7.0,-0.124
C[C@H]1[C@@H](O)[C@@H](N)C[C@H](O[C@H]2C[C@@](C(CO)=O)(O)CC3=C2C(O)=C4C(C(C5=C(C(OC)=CC=C5)C4[O-])[O])=C3O)O1,H2O,anion,7.0,-0.341
C[C@H]1[C@@H](O)[C@@H](N)C[C@H](O[C@H]2C[C@@](C(C)=O)(O)CC3=C2C(O)=C4C(C(C5=C(C(OC)=CC=C5)C4[O-])[O])=C3O)O1,H2O,anion,7.0,-0.341
O=S(C1=CC(C([O])/C(N2)=C3NC4=C(C=C(S(=O)([O-])=O)C=C4)C\3[O-])=C2C=C1)([O-])=O,H2O,anion,7.0,-0.247
CC1=C(N)C(C2=C(N3C[C@H]4[C@H](N4)[C@]3(OC)[C@@H]2COC(N)=O)C1[O-])[O],H2O,anion,7.0,-0.31
CC1=C(N)C(C2=C(N3C[C@H]4[C@H](N4)[C@]3(OC)[C@@H]2COC(N)=O)C1O)O,H2O,neutral,7.0,0.055
CC1=C(N)C(C2=C(N3C[C@H]4[C@H](N4)[C@]3(OC)[C@@H]2COC(N)=O)C1O)O,H2O,neutral,7.0,-0.368
CN1C=C(CO)C2=C1C(C(OC)=CC2[O])[O-],H2O,anion,7.0,-0.332
CC1=C(C2=C(N1C)C([O-])C(=CC2[O])OC)CO,H2O,anion,7.0,-0.376
CC1=C(C([O-])C2=C(C1[O])N(C(=C2CO)C)C)OC,H2O,anion,7.0,-0.317
CC1=C(C2=C(N1C)C([O])C=C(C2[O-])N3CCOCC3)CO,H2O,anion,7.0,-0.365
CN1C(=C(C2=C1C([O])C=C(C2[O-])OC)CO)C3=CC=CC=C3,H2O,anion,7.0,-0.315
CC1=C(C2=C(N1C3CC3)C([O])C=C(C2[O-])OC)CO,H2O,anion,7.0,-0.336
CCC1=C(C2=C(N1CC3=CC=CC=C3)C([O])C=C(C2[O-])OC)CO,H2O,anion,7.0,-0.326
CC1=C(C2=C(N1C3=CC=CC=C3)C([O])C=C(C2[O-])OC)CO,H2O,anion,7.0,-0.336
CC1=C(C([O-])C2=C(C1[O])N(C(=C2CO)C)C3=CC=CC=C3)OC,H2O,anion,7.0,-0.345
CC1=C(CO)C2=C(C(C=C(OC)C2[O-])[O])N1C3=CC=C(F)C=C3,H2O,anion,7.0,-0.31
CCCN1C(=C(C2=C1C([O])C(=C(C2[O-])OC)C)CO)C,H2O,anion,7.0,-0.318
CCCN1C(=C(C2=C1C([O])C=C(C2[O-])OC)CO)C,H2O,anion,7.0,-0.324
CC1=C(C2=C(N1C)C([O])C=C(C2[O-])OC)C(C)O,H2O,anion,7.0,-0.302
CC1=C(C2=C(N1C)C([O])C=C(C2[O-])N3CCN(CC3)C)C(C)O,H2O,anion,7.0,-0.285
CC1=C(C2=C(N1C)C([O])C=C(C2[O-])OC)C(C3=CC=CC=C3)O,H2O,anion,7.0,-0.332
CC1=C(C2=C(N1C)C([O])C=C(C2[O-])OC)C(C3=CC=CS3)O,H2O,anion,7.0,-0.376
COC1=CC([O])C2=C(C1[O-])C(=C3N2CCC3)CO,H2O,anion,7.0,-0.317
[O]C(C(Br)=C/1)C(Br)=CC1=C2C=C(Br)C(C(Br)=C/2)[O-],H2O,anion,7.0,0.26
C1=C(C([O])C(=CC1=C2C=C(C([O-])C(=C2)Cl)Cl)Cl)Cl,H2O,anion,7.0,0.26
[O-]C(C(C1=C2NC(C(O)=O)=C1)[O])C3=C2C(C(O)=O)=CC(C(O)=O)=C3,H2O,anion,7.0,-0.114
[O]C1=CC=CC2=C1C(C3=C(NCCNCCO)C=CC4=C3C2=NN4CCNCCO)[O-],H2O,anion,7.0,-0.538
COC1=CC(C=C/C1=N\C2=C3C=CC=CC3=NC4=CC=CC=C42)[O-],H2O,anion,7.0,0.085
CN(C1=CC([O-])C=CC1=NC3=C2C=CC=CC2=NC4=CC=CC=C34)C,H2O,anion,7.0,-0.01
C1=CC(=C(C=C1O)O)O,H2O,neutral,13.5,-0.11
C1=CC(=C(C(=C1)O)O)O,H2O,neutral,13.5,-0.009
C1=C(C=C(C(=C1O)O)O)C(=O)O,H2O,neutral,7.0,0.45
C1=C(C=C(C(=C1O)O)O)C(=O)O,H2O,neutral,3.5,0.78
C1=C(C=C(C(=C1O)O)O)C(=O)O,H2O,neutral,0.0,0.98
COC(=O)C1=CC(=C(C(=C1)O)O)O,H2O,neutral,7.0,0.56
COC(=O)C1=CC(=C(C(=C1)O)O)O,H2O,neutral,3.5,0.91
COC(=O)C1=CC(=C(C(=C1)O)O)O,H2O,neutral,0.0,1.12
COC(=O)C1=CC(=C(C(=C1)O)O)O,H2O,neutral,3.5,0.098
COC(=O)C1=CC(=C(C(=C1)O)O)O,H2O,neutral,0.0,0.098
CCOC(=O)C1=CC(=C(C(=C1)O)O)O,H2O,neutral,7.0,-0.054
C1=C(C=C(C(=C1O)O)O)CCN,H2O,neutral,7.0,0.042
C1[C@@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,H2O,neutral,7.0,0.42
C1[C@@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,H2O,neutral,3.5,0.73
C1[C@@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,H2O,neutral,0.0,0.93
C1[C@@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,H2O,neutral,7.0,0.43
C1[C@H](C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,H2O,neutral,13.5,0.42
C1[C@H](C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,H2O,neutral,7.0,0.048
C1[C@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,H2O,neutral,7.0,0.57
C1[C@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,H2O,neutral,3.5,0.91
C1[C@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,H2O,neutral,0.0,1.12
C1[C@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,H2O,neutral,13.5,0.079
C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,H2O,neutral,13.5,0.33
C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,H2O,neutral,7.0,-0.037
OC1C(O)=CNC(O)N1,H2O,neutral,13.5,0.132
C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,H2O,neutral,13.5,0.187
C1=CC(=CC=C1[CH2])OC2=CC=CC=C2,CH3CN,radical,7.0,0.69
C2(=CC=C(C=C2)C)[CH2],CH3CN,radical,7.0,0.75
C1=C(C=CC=C1[CH2])C,CH3CN,radical,7.0,0.91
C1=CC(=CC=C1[CH2])Cl,CH3CN,radical,7.0,0.97
C1(=CC=C(C=C1)[CH2])COC,CH3CN,radical,7.0,1.04
C1(=CC=C(C=C1)[CH2])CN,CH3CN,radical,7.0,1.14
C1=C(C=CC=C1[CH2])CN,CH3CN,radical,7.0,1.32
C1=CC=C(C=C1CN)[CH2],CH3CN,radical,7.0,1.35
C1(=CC=C(C=C1)[CH2-])OC,CH3CN,anion,7.0,-1.51
C1(=CC=C(C=C1)[CH2-])C,CH3CN,anion,7.0,-1.38
CC1=CC(=CC=C1)[CH2-],CH3CN,anion,7.0,-1.26
[CH2-]C1=CC=C(C=C1)F,CH3CN,anion,7.0,-1.26
[CH2-]C1=CC=C(C=C1)Cl,CH3CN,anion,7.0,-1.16
C1=C(C=CC(=C1)[CH2-])COC,CH3CN,anion,7.0,-0.47
C1=C(C=CC(=C1)[CH2-])CN,CH3CN,anion,7.0,-0.53
C1(=CC=CC(=C1)[CH2-])CN,CH3CN,anion,7.0,-0.87
[CH2-]C1=CC(=CC=C1)C(F)(F)F,CH3CN,anion,7.0,-0.96
C[C](C)O,CH3CN,radical,7.0,-0.37
C1=CC=C(C=C1)[C](C2=CC=CC=C2)O,CH3CN,radical,7.0,-0.01
[C](O)(C1=CC=CC=C1)C,CH3CN,radical,7.0,0.0
[C](O)(C1=CC=C(C=C1)C)C,CH3CN,radical,7.0,-0.22
C1=CC=CC=C1[CH1]O,CH3CN,radical,7.0,-0.06
C1=CC=CC=C1[C](O)C(F)(F)F,CH3CN,radical,7.0,0.55
C12=CC=CC=C1C3C([C]2O)C=CC=C3,CH3CN,radical,7.0,0.62
C1(=CC=CC=C1)[C](C)OC,CH3CN,radical,7.0,0.15
C1=CC=[C-]C=C1,CH3CN,anion,7.0,-0.29
[CH2]C1=CC=CC=C1,CH3CN,radical,7.0,0.97
C[C](C)C1=CC=CC=C1,CH3CN,radical,7.0,0.4
[CH2-]C1=CC=CC=C1,CH3CN,anion,7.0,-1.21
C[C-](C)C1=CC=CC=C1,CH3CN,anion,7.0,-1.49
C1=CC=C(C=C1)[CH]C2=CC=CC=C2,CH3CN,radical,7.0,0.59
C1=CC=C(C=C1)[CH-]C2=CC=CC=C2,CH3CN,anion,7.0,-0.9
CN(C)[CH2],CH3CN,radical,7.0,-0.79
CN(C)[CH2-],CH3CN,anion,7.0,-1.76
CCN(CC)[CH]C,CH3CN,radical,7.0,-0.88
C[CH]C1=CC=CC=C1,CH3CN,radical,7.0,0.61
